gauge_id,gauge_lat,gauge_lon,gauge_name,country,area
il_12130,32.59094819,34.987524,DALIYYA - BAT SHELOMO,Israel,40.78375656278182
il_12140,32.5929019,34.94766045,DALIYYA - TEL AVIV-HAIFA ROAD,Israel,66.77541174208707
il_13105,32.55476202,35.00961898,TANNINIM - 'AMMIQAM,Israel,48.68331433095054
il_13125,32.52001007,34.99880608,ADA - GIV'AT ADA,Israel,17.524861828459773
il_13135,32.50218747,35.00170911,BARQAN - KEFAR GLICKSON,Israel,25.468795351710416
il_13146,32.50686275,34.95860015,ADA - BINYAMINA-PARDES HANNA RD.,Israel,58.42796606641408
il_14115,32.45461544,35.00983489,IRON - SHA'AR MENASHE,Israel,58.257612813456205
il_14120,32.44021809,34.9555167,HADERA - GAN SHEMU'EL,Israel,569.7202126031472
il_15120,32.37528291,34.91332854,ALEXANDER - ELYASHIV,Israel,473.89471735878647
il_17110,32.14754491,34.96218765,QANA - YARHIV,Israel,230.1890192245516
il_17117,32.0718534,34.94641642,SHILLO - LOD-ROSH HA'AYIN ROAD,Israel,355.79020663032566
il_17123,32.06946496,34.96075224,SHILLO-DIVERSION TO QUARRY,Israel,352.54370085580626
il_17135,32.10619345,34.83063492,YARQON - HERZLIA ROAD,Israel,940.570529822426
il_17144,31.95851271,34.90455999,AYYALON - LOD WEIR,Israel,284.1681202378176
il_17155,31.98416293,34.9057251,NATUF - EL-AL JUNCTION,Israel,241.98803412142405
il_17162,32.00873513,34.91654654,BET ARIF - ROAD 46,Israel,83.49379466463124
il_17164,32.00134564,34.86406859,AYYALON-AIRPORT,Israel,549.0020533691991
il_17168,32.04037499,34.79383687,AYYALON - SHEKHUNAT 'EZRA,Israel,774.2690711825551
il_18115,31.75722536,34.99487492,SOREQ - HARTUV,Israel,228.08928664473927
il_18125,31.80110263,34.95170208,HAR'EL - KEFAR URIYYA,Israel,12.394175739868189
il_18131,31.80832195,34.84811369,SOREQ - YESODOT,Israel,393.2637638949946
il_18150,31.8699823,34.75243996,SOREQ - YAVNE,Israel,600.5008914413446
il_18178,31.83725745,34.78193559,EQRON - BET EL'AZARI WEIR,Israel,63.263345637880846
il_18180,31.90004464,34.76409042,GAMLI'EL -  HIGHWAY 42,Israel,600.5008914413446
